,instant,dteday,season,yr,mnth,hr,holiday,weekday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
90,91,4/1/2011,1,0,1,22,FALSE,2,1,0.22,0.2576,0.64,0.0896,1,34,35
91,92,4/1/2011,1,0,1,23,FALSE,2,1,0.2,0.2273,0.69,0.0896,2,9,11
92,93,5/1/2011,1,0,1,0,FALSE,3,1,0.2,0.2576,0.64,0,0,6,6
93,94,5/1/2011,1,0,1,1,FALSE,3,1,0.16,0.197,0.74,0.0896,0,6,6
94,95,5/1/2011,1,0,1,2,FALSE,3,1,0.16,0.197,0.74,0.0896,0,2,2
95,96,5/1/2011,1,0,1,4,FALSE,3,1,0.24,0.2273,0.48,0.2239,0,2,2
96,97,5/1/2011,1,0,1,5,FALSE,3,1,0.22,0.2273,0.47,0.1642,0,3,3
97,98,5/1/2011,1,0,1,6,FALSE,3,1,0.2,0.197,0.47,0.2239,0,33,33
98,99,5/1/2011,1,0,1,7,FALSE,3,1,0.18,0.1818,0.43,0.194,1,87,88
99,100,5/1/2011,1,0,1,8,FALSE,3,1,0.2,0.1818,0.4,0.2985,3,192,195
100,101,5/1/2011,1,0,1,9,FALSE,3,1,0.22,0.197,0.37,0.3284,6,109,115
101,102,5/1/2011,1,0,1,10,FALSE,3,1,0.22,0.197,0.37,0.3284,4,53,57
102,103,5/1/2011,1,0,1,11,FALSE,3,1,0.26,0.2273,0.33,0.3284,12,34,46
103,104,5/1/2011,1,0,1,12,FALSE,3,1,0.26,0.2273,0.33,0.3284,5,74,79
104,105,5/1/2011,1,0,1,13,FALSE,3,1,0.28,0.2576,0.3,0.2985,6,65,71
105,106,5/1/2011,1,0,1,14,FALSE,3,1,0.3,0.2879,0.28,0.194,10,52,62
106,107,5/1/2011,1,0,1,15,FALSE,3,1,0.3,0.2879,0.28,0.194,7,55,62
107,108,5/1/2011,1,0,1,16,FALSE,3,1,0.3,0.3182,0.28,0.0896,4,85,89
108,109,5/1/2011,1,0,1,17,FALSE,3,1,0.24,0.2273,0.38,0.194,4,186,190
109,110,5/1/2011,1,0,1,18,FALSE,3,1,0.24,0.2424,0.38,0.1343,3,166,169
110,111,5/1/2011,1,0,1,19,FALSE,3,1,0.24,0.2576,0.38,0.1045,5,127,132
111,112,5/1/2011,1,0,1,20,FALSE,3,1,0.22,0.2273,0.47,0.1642,7,82,89
112,113,5/1/2011,1,0,1,21,FALSE,3,1,0.2,0.197,0.51,0.194,3,40,43
113,114,5/1/2011,1,0,1,22,FALSE,3,1,0.18,0.197,0.55,0.1343,1,41,42
114,115,5/1/2011,1,0,1,23,FALSE,3,1,0.2,0.2576,0.47,0,1,18,19
115,116,6/1/2011,1,0,1,0,FALSE,4,1,0.18,0.2424,0.55,0,0,11,11
116,117,6/1/2011,1,0,1,1,FALSE,4,1,0.16,0.2273,0.64,0,0,4,4
117,118,6/1/2011,1,0,1,2,FALSE,4,1,0.16,0.2273,0.64,0,0,2,2
118,119,6/1/2011,1,0,1,4,FALSE,4,2,0.16,0.197,0.64,0.0896,0,1,1
119,120,6/1/2011,1,0,1,5,FALSE,4,2,0.14,0.1818,0.69,0.0896,0,4,4
120,121,6/1/2011,1,0,1,6,FALSE,4,2,0.14,0.1667,0.63,0.1045,0,36,36
121,122,6/1/2011,1,0,1,7,FALSE,4,2,0.16,0.2273,0.59,0,0,95,95
122,123,6/1/2011,1,0,1,8,FALSE,4,1,0.16,0.2273,0.59,0,3,216,219
123,124,6/1/2011,1,0,1,9,FALSE,4,2,0.18,0.2424,0.51,0,6,116,122
124,125,6/1/2011,1,0,1,10,FALSE,4,1,0.2,0.2576,0.47,0,3,42,45
125,126,6/1/2011,1,0,1,11,FALSE,4,1,0.22,0.2576,0.44,0.0896,2,57,59
126,127,6/1/2011,1,0,1,12,FALSE,4,1,0.26,0.2879,0.35,0,6,78,84
127,128,6/1/2011,1,0,1,13,FALSE,4,1,0.26,0.2727,0.35,0.1045,12,55,67
128,129,6/1/2011,1,0,1,14,FALSE,4,1,0.28,0.2727,0.36,0.1642,11,59,70
129,130,6/1/2011,1,0,1,15,FALSE,4,1,0.28,0.2727,0.36,0,8,54,62
130,131,6/1/2011,1,0,1,16,FALSE,4,1,0.26,0.2576,0.38,0.1642,12,74,86
131,132,6/1/2011,1,0,1,17,FALSE,4,1,0.22,0.2273,0.51,0.1642,9,163,172
132,133,6/1/2011,1,0,1,18,FALSE,4,1,0.22,0.2273,0.51,0.1343,5,158,163
133,134,6/1/2011,1,0,1,19,FALSE,4,1,0.22,0.2576,0.55,0.0896,3,109,112
134,135,6/1/2011,1,0,1,20,FALSE,4,1,0.2,0.2121,0.51,0.1642,3,66,69
135,136,6/1/2011,1,0,1,21,FALSE,4,2,0.22,0.2121,0.55,0.2239,0,48,48
136,137,6/1/2011,1,0,1,22,FALSE,4,2,0.22,0.2121,0.51,0.2836,1,51,52
137,138,6/1/2011,1,0,1,23,FALSE,4,2,0.2,0.197,0.59,0.194,4,19,23
138,139,7/1/2011,1,0,1,0,FALSE,5,2,0.2,0.197,0.64,0.194,4,13,17
139,140,7/1/2011,1,0,1,1,FALSE,5,2,0.2,0.197,0.69,0.2239,2,5,7
140,141,7/1/2011,1,0,1,2,FALSE,5,2,0.2,0.197,0.69,0.2239,0,1,1
141,142,7/1/2011,1,0,1,4,FALSE,5,2,0.2,0.2121,0.69,0.1343,0,1,1
142,143,7/1/2011,1,0,1,5,FALSE,5,3,0.22,0.2727,0.55,0,0,5,5
143,144,7/1/2011,1,0,1,6,FALSE,5,2,0.2,0.2576,0.69,0,8,26,34
144,145,7/1/2011,1,0,1,7,FALSE,5,1,0.2,0.2121,0.69,0.1343,8,76,84
145,146,7/1/2011,1,0,1,8,FALSE,5,1,0.2,0.197,0.51,0.2537,20,190,210
146,147,7/1/2011,1,0,1,9,FALSE,5,1,0.2,0.1818,0.47,0.2985,9,125,134
147,148,7/1/2011,1,0,1,10,FALSE,5,1,0.22,0.197,0.37,0.3284,16,47,63
148,149,7/1/2011,1,0,1,11,FALSE,5,2,0.2,0.197,0.4,0.2239,19,48,67
149,150,7/1/2011,1,0,1,12,FALSE,5,2,0.2,0.197,0.37,0.2537,9,50,59
150,151,7/1/2011,1,0,1,13,FALSE,5,2,0.2,0.1818,0.37,0.2836,9,64,73
151,152,7/1/2011,1,0,1,14,FALSE,5,2,0.2,0.197,0.4,0.2537,7,43,50
152,153,7/1/2011,1,0,1,15,FALSE,5,2,0.2,0.2121,0.37,0.1642,9,63,72
153,154,7/1/2011,1,0,1,16,FALSE,5,2,0.2,0.2121,0.37,0.1642,5,82,87
154,155,7/1/2011,1,0,1,17,FALSE,5,2,0.2,0.2576,0.37,0,9,178,187
155,156,7/1/2011,1,0,1,18,FALSE,5,1,0.2,0.2273,0.4,0.0896,7,116,123
156,157,7/1/2011,1,0,1,19,FALSE,5,1,0.16,0.197,0.55,0.0896,3,92,95
157,158,7/1/2011,1,0,1,20,FALSE,5,1,0.18,0.2121,0.47,0.1045,1,50,51
158,159,7/1/2011,1,0,1,21,FALSE,5,1,0.18,0.197,0.47,0.1343,0,39,39
159,160,7/1/2011,1,0,1,22,FALSE,5,2,0.18,0.197,0.43,0.1642,2,34,36
160,161,7/1/2011,1,0,1,23,FALSE,5,2,0.18,0.197,0.51,0.1642,1,14,15
161,162,8/1/2011,1,0,1,0,FALSE,6,2,0.18,0.197,0.51,0.1642,1,24,25
162,163,8/1/2011,1,0,1,1,FALSE,6,2,0.18,0.2121,0.55,0.0896,1,15,16
163,164,8/1/2011,1,0,1,2,FALSE,6,2,0.18,0.2424,0.55,0,3,13,16
164,165,8/1/2011,1,0,1,3,FALSE,6,3,0.18,0.197,0.55,0.1642,0,7,7
165,166,8/1/2011,1,0,1,4,FALSE,6,3,0.18,0.197,0.55,0.1642,0,1,1
166,167,8/1/2011,1,0,1,5,FALSE,6,2,0.16,0.1667,0.74,0.1642,0,5,5
167,168,8/1/2011,1,0,1,6,FALSE,6,2,0.16,0.1667,0.74,0.1642,0,2,2
168,169,8/1/2011,1,0,1,7,FALSE,6,2,0.16,0.1818,0.74,0.1045,1,8,9
169,170,8/1/2011,1,0,1,8,FALSE,6,3,0.16,0.1818,0.93,0.1045,0,15,15
170,171,8/1/2011,1,0,1,9,FALSE,6,3,0.16,0.1818,0.93,0.1045,0,20,20
171,172,8/1/2011,1,0,1,10,FALSE,6,2,0.18,0.197,0.8,0.1642,5,56,61
172,173,8/1/2011,1,0,1,11,FALSE,6,2,0.2,0.1818,0.69,0.3881,2,60,62
173,174,8/1/2011,1,0,1,12,FALSE,6,2,0.2,0.1818,0.59,0.3582,8,90,98
174,175,8/1/2011,1,0,1,13,FALSE,6,1,0.2,0.1818,0.44,0.3284,7,95,102
175,176,8/1/2011,1,0,1,14,FALSE,6,1,0.2,0.1667,0.32,0.4925,12,83,95
176,177,8/1/2011,1,0,1,15,FALSE,6,1,0.2,0.1667,0.32,0.4478,5,69,74
177,178,8/1/2011,1,0,1,16,FALSE,6,1,0.18,0.1364,0.29,0.4478,8,68,76
178,179,8/1/2011,1,0,1,17,FALSE,6,1,0.16,0.1212,0.37,0.5522,5,64,69
179,180,8/1/2011,1,0,1,18,FALSE,6,1,0.14,0.1212,0.39,0.2985,3,52,55
180,181,8/1/2011,1,0,1,19,FALSE,6,1,0.14,0.1212,0.36,0.2537,4,26,30
181,182,8/1/2011,1,0,1,20,FALSE,6,1,0.12,0.1212,0.36,0.2537,0,28,28
182,183,8/1/2011,1,0,1,21,FALSE,6,1,0.12,0.1061,0.39,0.3582,2,35,37
183,184,8/1/2011,1,0,1,22,FALSE,6,1,0.12,0.1061,0.36,0.3881,1,33,34
184,185,8/1/2011,1,0,1,23,FALSE,6,1,0.1,0.0606,0.39,0.4478,0,22,22
185,186,9/1/2011,1,0,1,0,FALSE,0,1,0.1,0.0758,0.42,0.3881,1,24,25
186,187,9/1/2011,1,0,1,1,FALSE,0,1,0.1,0.0606,0.42,0.4627,0,12,12
187,188,9/1/2011,1,0,1,2,FALSE,0,1,0.1,0.0606,0.46,0.4627,0,11,11
188,189,9/1/2011,1,0,1,3,FALSE,0,1,0.1,0.0758,0.46,0.4179,0,4,4
189,190,9/1/2011,1,0,1,4,FALSE,0,1,0.08,0.0909,0.53,0.194,0,1,1
190,191,9/1/2011,1,0,1,5,FALSE,0,1,0.08,0.0909,0.53,0.194,0,1,1
191,192,9/1/2011,1,0,1,6,FALSE,0,1,0.1,0.0909,0.49,0.2836,0,1,1
192,193,9/1/2011,1,0,1,7,FALSE,0,1,0.08,0.0909,0.53,0.194,1,5,6
193,194,9/1/2011,1,0,1,8,FALSE,0,1,0.1,0.0909,0.49,0.2836,0,10,10
194,195,9/1/2011,1,0,1,9,FALSE,0,1,0.12,0.0758,0.46,0.5224,0,19,19
195,196,9/1/2011,1,0,1,10,FALSE,0,1,0.14,0.1061,0.43,0.3881,0,49,49
196,197,9/1/2011,1,0,1,11,FALSE,0,1,0.16,0.1212,0.4,0.5224,2,47,49
197,198,9/1/2011,1,0,1,12,FALSE,0,1,0.18,0.1364,0.37,0.4478,4,79,83
198,199,9/1/2011,1,0,1,13,FALSE,0,1,0.2,0.1667,0.34,0.4478,6,69,75
199,200,9/1/2011,1,0,1,14,FALSE,0,1,0.22,0.1818,0.32,0.4627,8,64,72
200,201,9/1/2011,1,0,1,15,FALSE,0,1,0.22,0.197,0.35,0.3582,5,77,82
201,202,9/1/2011,1,0,1,16,FALSE,0,1,0.2,0.1667,0.34,0.4478,13,79,92
202,203,9/1/2011,1,0,1,17,FALSE,0,1,0.18,0.1515,0.37,0.3881,3,59,62
203,204,9/1/2011,1,0,1,18,FALSE,0,1,0.16,0.1364,0.4,0.3284,4,44,48
204,205,9/1/2011,1,0,1,19,FALSE,0,1,0.16,0.1364,0.43,0.3284,1,40,41
205,206,9/1/2011,1,0,1,20,FALSE,0,1,0.14,0.1212,0.46,0.2537,0,38,38
206,207,9/1/2011,1,0,1,21,FALSE,0,1,0.14,0.1061,0.46,0.4179,1,19,20
207,208,9/1/2011,1,0,1,22,FALSE,0,1,0.14,0.1212,0.46,0.2985,5,10,15
208,209,9/1/2011,1,0,1,23,FALSE,0,1,0.12,0.1364,0.5,0.194,0,6,6
209,210,10/1/2011,1,0,1,0,FALSE,1,1,0.12,0.1212,0.5,0.2836,2,3,5
210,211,10/1/2011,1,0,1,1,FALSE,1,1,0.12,0.1212,0.5,0.2836,1,0,1
211,212,10/1/2011,1,0,1,2,FALSE,1,1,0.12,0.1212,0.5,0.2239,0,3,3
212,213,10/1/2011,1,0,1,3,FALSE,1,1,0.12,0.1212,0.5,0.2239,0,1,1
213,214,10/1/2011,1,0,1,4,FALSE,1,1,0.1,0.1212,0.54,0.1343,1,2,3
214,215,10/1/2011,1,0,1,5,FALSE,1,1,0.1,0.1061,0.54,0.2537,0,3,3
215,216,10/1/2011,1,0,1,6,FALSE,1,1,0.12,0.1212,0.5,0.2836,0,31,31
216,217,10/1/2011,1,0,1,7,FALSE,1,1,0.12,0.1212,0.5,0.2239,2,75,77
217,218,10/1/2011,1,0,1,8,FALSE,1,2,0.12,0.1212,0.5,0.2836,4,184,188
218,219,10/1/2011,1,0,1,9,FALSE,1,2,0.14,0.1212,0.5,0.2537,2,92,94
219,220,10/1/2011,1,0,1,10,FALSE,1,2,0.14,0.1212,0.5,0.2985,0,31,31
220,221,10/1/2011,1,0,1,11,FALSE,1,2,0.16,0.1364,0.47,0.2836,2,28,30
221,222,10/1/2011,1,0,1,12,FALSE,1,2,0.2,0.1818,0.4,0.2836,5,47,52
222,223,10/1/2011,1,0,1,13,FALSE,1,2,0.2,0.1818,0.4,0.2836,4,50,54
223,224,10/1/2011,1,0,1,14,FALSE,1,2,0.2,0.197,0.4,0.2239,0,47,47
224,225,10/1/2011,1,0,1,15,FALSE,1,2,0.2,0.197,0.4,0.2239,2,43,45
225,226,10/1/2011,1,0,1,16,FALSE,1,1,0.2,0.2121,0.4,0.1343,4,70,74
226,227,10/1/2011,1,0,1,17,FALSE,1,1,0.2,0.2273,0.4,0.1045,4,174,178
227,228,10/1/2011,1,0,1,18,FALSE,1,1,0.2,0.197,0.4,0.2239,1,154,155
228,229,10/1/2011,1,0,1,19,FALSE,1,1,0.16,0.1667,0.47,0.1642,3,92,95
229,230,10/1/2011,1,0,1,20,FALSE,1,1,0.16,0.1667,0.5,0.1642,1,73,74
230,231,10/1/2011,1,0,1,21,FALSE,1,1,0.14,0.1364,0.59,0.194,1,37,38
231,232,10/1/2011,1,0,1,22,FALSE,1,1,0.14,0.1515,0.59,0.1642,2,22,24
232,233,10/1/2011,1,0,1,23,FALSE,1,1,0.14,0.1515,0.59,0.1642,0,18,18
233,234,11/1/2011,1,0,1,0,FALSE,2,1,0.14,0.1667,0.59,0.1045,2,10,12
234,235,11/1/2011,1,0,1,1,FALSE,2,1,0.14,0.1515,0.59,0.1642,0,3,3
235,236,11/1/2011,1,0,1,2,FALSE,2,2,0.16,0.1515,0.55,0.194,0,3,3
236,237,11/1/2011,1,0,1,5,FALSE,2,2,0.16,0.1818,0.55,0.1343,0,6,6
237,238,11/1/2011,1,0,1,6,FALSE,2,2,0.16,0.1818,0.55,0.1343,0,27,27
238,239,11/1/2011,1,0,1,7,FALSE,2,2,0.16,0.2273,0.55,0,2,97,99
239,240,11/1/2011,1,0,1,8,FALSE,2,2,0.18,0.2121,0.51,0.0896,3,214,217
240,241,11/1/2011,1,0,1,9,FALSE,2,2,0.18,0.197,0.51,0.1642,3,127,130
241,242,11/1/2011,1,0,1,10,FALSE,2,2,0.2,0.2121,0.51,0.1642,3,51,54
242,243,11/1/2011,1,0,1,11,FALSE,2,2,0.2,0.2121,0.47,0.1343,4,31,35
243,244,11/1/2011,1,0,1,12,FALSE,2,2,0.2,0.2273,0.51,0.1045,2,55,57
244,245,11/1/2011,1,0,1,13,FALSE,2,2,0.2,0.2273,0.59,0.0896,6,46,52
245,246,11/1/2011,1,0,1,14,FALSE,2,2,0.2,0.2273,0.59,0.0896,3,60,63
246,247,11/1/2011,1,0,1,15,FALSE,2,2,0.16,0.197,0.8,0.0896,2,45,47
247,248,11/1/2011,1,0,1,16,FALSE,2,2,0.16,0.1515,0.86,0.2239,4,72,76
248,249,11/1/2011,1,0,1,17,FALSE,2,2,0.16,0.1515,0.86,0.2239,6,130,136
249,250,11/1/2011,1,0,1,18,FALSE,2,3,0.16,0.1818,0.93,0.1045,1,94,95
250,251,11/1/2011,1,0,1,19,FALSE,2,3,0.16,0.2273,0.93,0,0,51,51
251,252,11/1/2011,1,0,1,20,FALSE,2,3,0.16,0.1515,0.93,0.194,0,32,32
252,253,11/1/2011,1,0,1,21,FALSE,2,3,0.16,0.197,0.86,0.0896,0,20,20
253,254,11/1/2011,1,0,1,22,FALSE,2,3,0.16,0.1818,0.93,0.1045,1,28,29
254,255,11/1/2011,1,0,1,23,FALSE,2,3,0.16,0.197,0.93,0.0896,1,18,19
255,256,12/1/2011,1,0,1,0,FALSE,3,2,0.16,0.197,0.86,0.0896,0,7,7
256,257,12/1/2011,1,0,1,1,FALSE,3,2,0.16,0.1818,0.86,0.1045,0,6,6
257,258,12/1/2011,1,0,1,2,FALSE,3,1,0.14,0.1515,0.86,0.1343,0,1,1
258,259,12/1/2011,1,0,1,5,FALSE,3,1,0.14,0.1515,0.86,0.1642,0,5,5
259,260,12/1/2011,1,0,1,6,FALSE,3,1,0.12,0.1515,0.93,0.1343,0,16,16
260,261,12/1/2011,1,0,1,7,FALSE,3,1,0.14,0.1515,0.69,0.1343,0,54,54
261,262,12/1/2011,1,0,1,8,FALSE,3,1,0.16,0.1667,0.59,0.1642,3,125,128
262,263,12/1/2011,1,0,1,9,FALSE,3,1,0.16,0.1364,0.59,0.3284,3,78,81
263,264,12/1/2011,1,0,1,10,FALSE,3,1,0.18,0.1818,0.55,0.2239,0,39,39
264,265,12/1/2011,1,0,1,11,FALSE,3,1,0.2,0.1818,0.51,0.3881,3,32,35
265,266,12/1/2011,1,0,1,12,FALSE,3,1,0.2,0.1515,0.47,0.5821,3,52,55
266,267,12/1/2011,1,0,1,13,FALSE,3,1,0.22,0.197,0.44,0.3582,0,49,49
267,268,12/1/2011,1,0,1,14,FALSE,3,1,0.2,0.1818,0.47,0.3284,0,44,44
268,269,12/1/2011,1,0,1,15,FALSE,3,1,0.2,0.1667,0.47,0.4179,1,48,49
269,270,12/1/2011,1,0,1,16,FALSE,3,1,0.22,0.197,0.44,0.3284,5,63,68
